location_id,year,month,temp_mean,temp_max,temp_min,rain_sum,rain_days,sunshine_mean_hours,radiation_mean,et0_mean,wind_speed_max,date
26,2010,5,22.238709677419354,26.9,19.0,241.9,31,9.502366039426523,18.269354838709678,3.5022580645161288,17.2,2010-05-01
26,2010,6,21.83,26.9,18.9,246.1,30,10.095480092592595,18.401999999999997,3.5103333333333335,21.1,2010-06-01
26,2010,7,21.570967741935487,26.8,17.8,225.5,30,9.923443727598567,18.61516129032258,3.6464516129032254,21.3,2010-07-01
26,2010,8,21.77741935483871,27.6,18.2,254.7,29,9.181358154121863,17.287419354838708,3.5274193548387096,21.0,2010-08-01
26,2010,9,21.453333333333333,27.7,17.7,335.9,28,8.571879814814812,17.574666666666666,3.530333333333333,17.7,2010-09-01
26,2010,10,21.032258064516128,26.7,15.3,301.8,24,9.76887446236559,18.675161290322578,3.5964516129032256,20.0,2010-10-01
26,2010,11,20.103333333333335,25.2,16.6,394.6,28,8.038814444444444,14.496333333333332,2.7606666666666664,14.1,2010-11-01
26,2010,12,19.55483870967742,24.3,14.4,504.5,27,6.349736200716846,11.921290322580646,2.278709677419355,18.1,2010-12-01
26,2011,1,19.074193548387097,23.7,11.7,511.90000000000003,24,6.465468279569892,12.277096774193547,2.3174193548387096,11.6,2011-01-01
26,2011,2,19.807142857142857,24.9,15.1,340.7,15,7.62614742063492,15.140357142857143,2.8910714285714287,10.2,2011-02-01
26,2011,3,20.567741935483873,26.4,14.4,103.2,18,10.290724193548389,20.580967741935485,3.9229032258064516,12.2,2011-03-01
26,2011,4,20.83,26.5,15.3,273.5,24,9.332298796296294,19.592333333333332,3.7733333333333334,11.6,2011-04-01
26,2011,5,21.893548387096775,26.7,17.3,117.7,26,10.933742383512547,20.966129032258063,3.987741935483871,18.4,2011-05-01
26,2011,6,22.526666666666664,28.1,17.6,72.0,22,11.02561324074074,20.711333333333336,4.294666666666667,20.2,2011-06-01
26,2011,7,22.38064516129032,28.1,18.5,161.7,29,10.363684587813617,19.174516129032256,4.06741935483871,19.8,2011-07-01
26,2011,8,21.80322580645161,27.6,18.5,163.8,29,10.301025716845878,18.942903225806454,3.826774193548387,20.2,2011-08-01
26,2011,9,21.853333333333335,28.2,16.8,210.7,26,10.689447962962962,20.481333333333335,4.087,17.7,2011-09-01
26,2011,10,21.05483870967742,28.3,17.6,425.9,29,8.875929659498208,17.574838709677422,3.436451612903226,10.2,2011-10-01
26,2011,11,20.136666666666667,24.5,15.7,248.4,23,8.37388462962963,15.152,2.853666666666667,14.0,2011-11-01
26,2011,12,19.806451612903224,24.4,13.0,342.1,24,7.90887517921147,14.387096774193548,2.7270967741935483,11.5,2011-12-01
26,2012,1,19.46451612903226,25.0,13.4,64.60000000000001,13,10.406053315412187,18.12516129032258,3.369677419354839,10.7,2012-01-01
